Samplingpoint,Pollutant,Start,End,Value,Unit,AggType,Validity,Verification,ResultTime,DataCapture,FkObservationLog
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 00:00:00,2026-03-01 01:00:00,36.062183000000000000,ug.m-3,hour,3,3,2026-03-01 01:00:00,,9e664d80-8d0a-481e-82ca-112dac15e708
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 01:00:00,2026-03-01 02:00:00,25.287216000000000000,ug.m-3,hour,3,3,2026-03-01 02:00:00,,1499e592-3c02-422b-8646-9dfc91309a4e
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 02:00:00,2026-03-01 03:00:00,26.743391000000000000,ug.m-3,hour,3,3,2026-03-01 03:00:00,,ce0352c6-6450-4676-acd5-03581314f3f2
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 03:00:00,2026-03-01 04:00:00,30.829412000000000000,ug.m-3,hour,3,3,2026-03-01 04:00:00,,d7edb6da-fdba-4913-b409-5fc4b3058c28
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 04:00:00,2026-03-01 05:00:00,33.409030000000000000,ug.m-3,hour,3,3,2026-03-01 05:00:00,,c481d8a8-c512-4069-a081-8057f828c6ac
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 05:00:00,2026-03-01 06:00:00,45.526115000000000000,ug.m-3,hour,3,3,2026-03-01 06:00:00,,ff77456f-1883-4de7-8b8d-c79ec9ba7225
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 06:00:00,2026-03-01 07:00:00,45.983295000000000000,ug.m-3,hour,3,3,2026-03-01 07:00:00,,a3471123-1549-4ffa-bfcb-f1169a975346
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 07:00:00,2026-03-01 08:00:00,47.228165000000000000,ug.m-3,hour,3,3,2026-03-01 08:00:00,,2eddad32-d362-4673-abcc-fa4d21736f3d
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 08:00:00,2026-03-01 09:00:00,52.171500000000000000,ug.m-3,hour,3,3,2026-03-01 09:00:00,,ae18d675-af6f-43da-a9b8-353839662cd4
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 09:00:00,2026-03-01 10:00:00,54.740850000000000000,ug.m-3,hour,3,3,2026-03-01 10:00:00,,49cdc5cc-18a0-4771-9b6f-3b2f54738081
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 10:00:00,2026-03-01 11:00:00,46.948944000000000000,ug.m-3,hour,3,3,2026-03-01 11:00:00,,972efe7d-dc0d-4968-8c7f-002f1e0c8899
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 11:00:00,2026-03-01 12:00:00,49.516650000000000000,ug.m-3,hour,3,3,2026-03-01 12:00:00,,8adda05c-3406-4b46-84a8-455626bb7a18
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 12:00:00,2026-03-01 13:00:00,36.697163000000000000,ug.m-3,hour,3,3,2026-03-01 13:00:00,,c97ad275-ee2e-42c1-8bd5-ec0b8c7938c3
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 13:00:00,2026-03-01 14:00:00,30.705128000000000000,ug.m-3,hour,3,3,2026-03-01 14:00:00,,44e8607e-df01-4513-9e26-03921d7ddd23
IT/SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,6001,2026-03-01 14:00:00,2026-03-01 15:00:00,41.791103000000000000,ug.m-3,hour,3,3,2026-03-01 15:00:00,,7aa31cef-583e-4320-b025-66851abe72b9
