column,missing_count_before,missing_ratio_before_percent,missing_count_after,missing_ratio_after_percent
time,0,0.0,0.0,0.0
R_roi,0,0.0,0.0,0.0
G_roi,0,0.0,0.0,0.0
B_roi,0,0.0,0.0,0.0
S_mean,0,0.0,0.0,0.0
B_R_ratio,0,0.0,0.0,0.0
contrast,0,0.0,0.0,0.0
image_path,0,0.0,column_removed_or_transformed,column_removed_or_transformed
PM25,0,0.0,0.0,0.0
Unit,0,0.0,column_removed_or_transformed,column_removed_or_transformed
T2M,0,0.0,0.0,0.0
D2M,0,0.0,0.0,0.0
RH,0,0.0,0.0,0.0
U10,0,0.0,0.0,0.0
V10,0,0.0,0.0,0.0
SP,0,0.0,0.0,0.0
TP,0,0.0,0.0,0.0
BLH,0,0.0,0.0,0.0
TCC,0,0.0,0.0,0.0
CBH,25,11.363636363636363,0.0,0.0
WS10,0,0.0,0.0,0.0
GP_500,0,0.0,0.0,0.0
GP_850,0,0.0,0.0,0.0
T_500,0,0.0,0.0,0.0
T_850,0,0.0,0.0,0.0
U_500,0,0.0,0.0,0.0
U_850,0,0.0,0.0,0.0
V_500,0,0.0,0.0,0.0
V_850,0,0.0,0.0,0.0
temperature_mean,0,0.0,0.0,0.0
wind_direction_mean,2,0.9090909090909091,0.0,0.0
relative_humidity_mean,0,0.0,0.0,0.0
wind_speed_mean,49,22.272727272727273,0.0,0.0
wind_gust_max,0,0.0,0.0,0.0
