time,R_roi,G_roi,B_roi,S_mean,B_R_ratio,contrast,image_path,PM25,Unit,T2M,D2M,RH,U10,V10,SP,TP,BLH,TCC,CBH,WS10,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850,temperature_mean,wind_direction_mean,relative_humidity_mean,wind_speed_mean,wind_gust_max
2026-03-01 03:00:00,86.92972917731221,103.46493101686256,122.42146653040368,0.2896585499717078,1.4082807605717664,19.216036428994848,data\raw\images\20260301-0400.jpg,30.829412,ug.m-3,282.7173,281.67267,93.2005128266994,-0.7163391,0.23466492,100841.195,1.9073486e-06,39.850513,0.81347656,396.53946,0.7537966110745102,55338.402,15095.711,249.70064,275.30075,9.322769,-0.27830505,9.539322,0.77937317,11.6,73.0,76.2,0.7,2.2
2026-03-01 04:00:00,86.58558507920286,103.94111394992336,123.10496678589678,0.2955987925595012,1.4217720565324623,14.566549801332956,data\raw\images\20260301-0500.jpg,33.40903,ug.m-3,282.7107,281.8022,94.06250078370996,-1.0957794,0.17622375,100856.266,5.2452087e-06,47.587524,0.9651489,252.46167,1.1098591367954866,55323.098,15091.621,249.47983,275.04828,9.351929,-0.9198761,9.568161,0.44003296,11.3,84.0,81.4,1.3,3.1
2026-03-01 05:00:00,88.29633622892182,103.31850792028617,121.75984159427696,0.2734438084161508,1.378990855289907,13.688991279621282,data\raw\images\20260301-0600.jpg,45.526115,ug.m-3,282.703,281.8379,94.3385637444849,-1.4004059,-0.13841248,100861.08,6.67572e-06,65.21486,0.98999023,72.347595,1.407229440913798,55307.85,15081.527,249.28171,274.86044,9.384903,-1.3813629,9.57193,0.11164856,10.9,74.0,86.8,1.1,2.6
2026-03-01 06:00:00,97.6338017373531,127.31224833929484,157.80691364333163,0.3817465834014513,1.616314321668404,17.681539842646256,data\raw\images\20260301-0700.jpg,45.983295,ug.m-3,282.62634,281.76056,94.33088037487468,-1.6480255,-0.39463806,100899.97,2.861023e-06,96.78597,0.97717285,41.13127,1.6946171387811506,55315.043,15100.91,249.12534,274.77585,8.750961,-1.6464081,9.686996,-0.082336426,10.7,72.0,89.3,1.6,3.3
2026-03-01 07:00:00,112.16485947879409,144.06279509453245,172.77685743484926,0.3528713753324842,1.5403831172911282,21.163309100521055,data\raw\images\20260301-0800.jpg,47.228165,ug.m-3,282.59164,281.74936,94.47945394214888,-2.114334,-0.58273315,100929.11,1.1444092e-05,135.63661,0.9284668,146.68822,2.1931680710025216,55303.965,15117.297,248.99924,274.8416,8.000458,-1.7640991,10.09436,0.22846985,10.3,87.0,93.2,2.2,4.2
2026-03-01 08:00:00,109.8766223811957,141.50662749105774,170.27552887072048,0.3562496459410442,1.549697502807148,16.777746670031387,data\raw\images\20260301-0900.jpg,52.1715,ug.m-3,282.77997,281.8189,93.73199335894196,-2.209015,-0.41531372,100997.36,4.2915344e-06,199.91359,0.9992981,139.22426,2.2477172322703844,55325.67,15166.453,248.94133,274.8871,7.39859,-1.83255,10.542572,0.7056122,10.0,104.0,97.4,2.0,4.3
2026-03-01 09:00:00,109.48917731221258,141.2656974961676,169.48014307613695,0.3558702672827412,1.5479168415426212,21.982035214070507,data\raw\images\20260301-1000.jpg,54.74085,ug.m-3,282.811,281.69257,92.7411604075966,-2.5764923,-0.17929077,101014.69,5.722046e-06,268.47574,0.9945679,197.48627,2.582722933681908,55316.99,15178.664,249.00662,274.91394,7.230362,-2.0365295,11.188309,1.1477661,10.0,85.0,99.3,2.0,3.8
2026-03-01 10:00:00,113.1288196218702,143.67001021972408,170.0819110884006,0.3413863993042634,1.503435730642808,34.43692967560603,data\raw\images\20260301-1100.jpg,46.948944,ug.m-3,283.44806,281.8797,90.00281952272996,-2.516327,0.35028076,101048.92,2.7656555e-05,256.6872,1.0,310.7506,2.5405901247063007,55341.11,15195.609,249.18973,275.08585,8.886368,-0.4459381,11.102661,2.2855682,10.1,80.0,99.3,2.6,5.6
2026-03-01 11:00:00,122.17413898824732,152.15630045988758,178.48125191619826,0.3259736463490758,1.4608758607457148,41.229576728238015,data\raw\images\20260301-1200.jpg,49.51665,ug.m-3,283.7862,281.97794,88.58289492197683,-2.4837189,0.348114,101058.1,3.1471252e-05,280.9931,1.0,360.76483,2.507995799680137,55348.996,15208.922,249.31438,275.1754,8.796646,0.041275024,11.122299,2.7915955,10.7,85.0,93.8,2.4,5.2
2026-03-01 12:00:00,117.91885539090444,146.92776188042922,171.6555850792029,0.3257705583283044,1.455709377897625,41.553621598145554,data\raw\images\20260301-1300.jpg,36.697163,ug.m-3,284.13446,282.06512,87.06659621861576,-2.8464203,0.43870544,101014.17,2.7179718e-05,329.6452,0.98739624,444.98618,2.8800296851486937,55317.055,15181.117,249.2634,275.3391,8.054901,0.17492676,11.063492,2.684967,11.0,75.0,90.3,2.7,5.5
