time,T2M,D2M,RH,U10,V10,SP,TP,BLH,TCC,CBH,GP_500,GP_850,T_500,T_850,U_500,U_850,V_500,V_850
2026-03-01 00:00:00,283.19373,281.63806,90.06105066711126,-1.2540283,-0.5723114,100798.67,0.0,31.963226,0.87802124,822.22644,55447.754,15084.211,250.34264,275.17697,9.574036,-0.010620117,14.2812805,1.9727936
2026-03-01 01:00:00,282.90924,281.53995,91.18494161306697,-0.8356018,-0.6148834,100813.67,0.0,22.768602,0.90652466,821.54565,55419.7,15094.523,250.10312,275.4478,10.27684,0.26104736,11.280548,1.7834778
2026-03-01 02:00:00,282.85132,281.71823,92.65144892178914,-0.7748413,0.4440155,100812.016,9.536743e-07,28.508335,0.9192505,820.2612,55359.223,15084.656,249.8767,275.47516,9.741043,0.07400513,9.810852,1.2490845
2026-03-01 03:00:00,282.7173,281.67267,93.2005128266994,-0.7163391,0.23466492,100841.195,1.9073486e-06,39.850513,0.81347656,396.53946,55338.402,15095.711,249.70064,275.30075,9.322769,-0.27830505,9.539322,0.77937317
2026-03-01 04:00:00,282.7107,281.8022,94.06250078370995,-1.0957794,0.17622375,100856.266,5.2452087e-06,47.587524,0.9651489,252.46167,55323.098,15091.621,249.47983,275.04828,9.351929,-0.9198761,9.568161,0.44003296
2026-03-01 05:00:00,282.703,281.8379,94.3385637444849,-1.4004059,-0.13841248,100861.08,6.67572e-06,65.21486,0.98999023,72.347595,55307.85,15081.527,249.28171,274.86044,9.384903,-1.3813629,9.57193,0.11164856
2026-03-01 06:00:00,282.62634,281.76056,94.33088037487468,-1.6480255,-0.39463806,100899.97,2.861023e-06,96.78597,0.97717285,41.13127,55315.043,15100.91,249.12534,274.77585,8.750961,-1.6464081,9.686996,-0.082336426
2026-03-01 07:00:00,282.59164,281.74936,94.47945394214887,-2.114334,-0.58273315,100929.11,1.1444092e-05,135.63661,0.9284668,146.68822,55303.965,15117.297,248.99924,274.8416,8.000458,-1.7640991,10.09436,0.22846985
2026-03-01 08:00:00,282.77997,281.8189,93.73199335894195,-2.209015,-0.41531372,100997.36,4.2915344e-06,199.91359,0.9992981,139.22426,55325.67,15166.453,248.94133,274.8871,7.39859,-1.83255,10.542572,0.7056122
2026-03-01 09:00:00,282.811,281.69257,92.7411604075966,-2.5764923,-0.17929077,101014.69,5.722046e-06,268.47574,0.9945679,197.48627,55316.99,15178.664,249.00662,274.91394,7.230362,-2.0365295,11.188309,1.1477661
2026-03-01 10:00:00,283.44806,281.8797,90.00281952272996,-2.516327,0.35028076,101048.92,2.7656555e-05,256.6872,1.0,310.7506,55341.11,15195.609,249.18973,275.08585,8.886368,-0.4459381,11.102661,2.2855682
2026-03-01 11:00:00,283.7862,281.97794,88.58289492197683,-2.4837189,0.348114,101058.1,3.1471252e-05,280.9931,1.0,360.76483,55348.996,15208.922,249.31438,275.1754,8.796646,0.041275024,11.122299,2.7915955
2026-03-01 12:00:00,284.13446,282.06512,87.06659621861576,-2.8464203,0.43870544,101014.17,2.7179718e-05,329.6452,0.98739624,444.98618,55317.055,15181.117,249.2634,275.3391,8.054901,0.17492676,11.063492,2.684967
2026-03-01 13:00:00,284.68933,282.08633,84.04486964173707,-2.9384155,0.30940247,100958.516,4.1007996e-05,404.7103,0.9992981,512.7562,55267.742,15140.699,249.17758,275.3308,7.346695,-0.2745819,10.862854,2.4675293
2026-03-01 14:00:00,285.00455,282.3261,83.65519559332624,-2.918396,0.28897095,100932.664,1.7166138e-05,459.2518,0.98999023,616.79126,55242.477,15123.242,249.18501,275.37698,7.0071716,-0.55851746,10.62439,2.626831
2026-03-01 15:00:00,285.09003,282.5307,84.33828514381067,-2.664215,0.46720886,100929.31,7.6293945e-06,499.39517,1.0,544.8778,55222.152,15123.129,249.05223,275.4248,6.7233734,-0.4008484,10.0421295,2.6554108
2026-03-01 16:00:00,284.94525,282.32605,83.98269391872181,-2.4237213,0.67626953,100905.81,5.722046e-06,458.6569,0.9880676,532.2622,55178.668,15102.441,248.9427,275.37598,6.35585,-0.29656982,8.948166,2.5110016
2026-03-01 17:00:00,284.65192,282.17212,84.74186224689495,-1.7467041,0.4237671,100920.55,6.67572e-06,345.77844,0.99664307,462.1175,55161.94,15109.113,248.9251,275.20758,5.894516,-0.47914124,7.3248596,2.3727417
2026-03-01 18:00:00,284.34473,282.26373,87.01823742729124,-1.7753601,0.22834778,100935.24,7.1525574e-06,260.6409,0.9840393,391.3224,55137.703,15114.359,248.92421,274.9123,5.037903,-0.56126404,5.744034,2.3925476
2026-03-01 19:00:00,284.08865,282.1397,87.77228991858662,-1.8518066,-0.19438171,100971.06,1.001358e-05,213.53156,0.98999023,557.9088,55131.773,15137.828,248.71083,274.60083,4.05571,-0.6079407,4.756912,2.6046295
2026-03-01 20:00:00,283.8349,282.11432,89.11268359267449,-1.8465271,-0.34017944,101000.66,0.00018548965,190.64543,0.9611206,1178.1947,55120.4,15156.098,248.34738,274.28467,3.4080505,-0.20310974,4.3727264,2.8565521
2026-03-01 21:00:00,283.69547,281.66534,87.25597392418935,-1.9797974,-0.40957642,101030.9,0.00020265579,186.73602,0.8161621,1265.1887,55124.42,15175.523,247.99815,274.18427,3.3385925,0.14971924,4.21257,2.8430786
2026-03-01 22:00:00,283.34534,281.6353,89.136394353742,-1.7091675,-0.4368286,101012.055,0.00017929077,76.62172,0.95700073,1258.6592,55085.49,15196.801,247.63956,274.16885,4.417282,0.077819824,5.5335083,2.5420837
2026-03-01 23:00:00,283.2547,281.6103,89.52621625128168,-1.3770294,0.18989563,100963.984,0.00013446808,100.022644,0.7720337,1751.4084,55073.91,15159.348,247.47786,274.24194,5.0360413,0.60357666,4.4960785,2.96846
2026-03-02 00:00:00,283.11884,281.56665,90.07668529835615,-0.9343109,0.18411255,100934.62,0.00019741058,68.01007,0.7966919,1404.6827,55023.688,15122.145,247.27078,274.39008,5.02507,1.5018921,3.6356354,2.8146057
2026-03-02 01:00:00,282.9463,281.58026,91.20749225069278,-1.3629303,0.07345581,100949.96,0.000106334686,45.170265,0.96295166,1371.9058,55015.84,15122.879,247.14262,274.56015,4.7423553,2.1032715,3.155136,1.8325195
2026-03-02 02:00:00,282.70862,281.4246,91.70050487631407,-1.3239441,-0.03526306,100907.86,0.00011634827,38.593334,0.9833374,153.63425,54952.215,15078.324,247.0007,274.48972,4.1895294,2.1130676,2.7512817,1.3361206
2026-03-02 03:00:00,282.42365,281.29114,92.63105229136718,-1.0239868,-0.019317627,100893.84,7.104874e-05,54.474808,0.9895935,114.40883,54918.29,15064.273,246.84224,274.37122,3.8068848,1.7980194,2.2031403,1.0873871
2026-03-02 04:00:00,282.41785,281.34866,93.02972571243657,-1.1844635,0.11341858,100900.01,5.1498413e-05,68.31003,0.9875183,98.172455,54901.242,15066.215,246.7074,274.17194,2.9500732,1.1995544,1.4150391,0.9638214
2026-03-02 05:00:00,282.3886,281.46753,93.96765122047412,-1.2371521,0.31214905,100889.414,8.6307526e-05,81.71339,0.9721985,56.229538,54871.0,15054.641,246.60417,274.03772,1.8341217,0.5197296,0.86938477,1.0063629
2026-03-02 06:00:00,282.54852,281.56476,93.5769007599468,-1.1994324,0.22877502,100916.52,0.00010108948,79.4514,0.9448242,30.297058,54874.254,15071.559,246.51927,273.92285,0.93229675,-0.11898804,0.9170532,1.123291
